genes_in_mod	GF_104w_M_1_2	GF_104w_M_2_2	GF_104w_M_3_2	GF_104w_M_4_2	GF_104w_M_5_2	GF_8w_M_1_2	GF_8w_M_3_2	GF_8w_M_4_2	SPF_104w_M_1_2	SPF_104w_M_10_2	SPF_104w_M_11_2	SPF_104w_M_12_2	SPF_104w_M_13_2	SPF_104w_M_14_2	SPF_104w_M_2_2	SPF_104w_M_4_2	SPF_104w_M_5_2	SPF_104w_M_6_2	SPF_104w_M_7_2	SPF_104w_M_8_2	SPF_104w_M_9_2	SPF_8w_M_2_2	SPF_8w_M_3_2	SPF_8w_M_4_2
Ercc6l2	ME0	1.28318556166597	-1.85076552890793	-0.481168957552234	0.00563448485376538	1.58024679100872	-0.625342870113662	-0.770236792618122	1.07834809915572	0.446384626640647	0.851888171156066	0.673746803314029	-0.840810294660465	-0.555271673351093	1.76829999645979	-1.23114077392975	0.85299329178342	-1.14536411409968	-0.13405457336627	-0.884087678265076	-1.07092626121244	0.79219266988994	-0.159526232297704	1.01102254335025	-0.595247288903881
Ezh2	ME0	-0.335387548292526	-1.22210360590408	-1.02749686864935	-0.41973856425018	-0.723817984849261	0.900499276905756	-0.527635899679549	-1.02857444401688	-0.856419342548934	0.187546404826859	-0.0964312906369261	-0.680155058531078	0.128829195375551	1.67303539932958	-0.230415881813928	2.59668348375808	-0.355281726111968	1.78618165508419	0.255266296690891	-0.601888314328951	-0.889765380058096	1.44533128318353	0.0940287021683765	-0.0722897876511025
Fancc	ME0	-1.10968859760727	-1.09338596730899	-0.444555587984749	1.0372681189653	-0.58395499635527	-0.482276393708232	0.739348620853631	0.171243347764628	-0.376557039100955	-1.24756845411915	-0.93492788489855	-0.590756008767584	1.33187312757156	1.10969472060681	-0.979082231495987	0.503601562113788	-0.911304612447185	0.734231863283921	2.61325396403295	-0.393011124211566	-0.212353522582682	-0.777756240797854	1.2718804578821	0.624782878311334
Gch1	ME0	-0.387120676103363	1.57990393893057	-0.0748200662800084	0.959954988258038	0.710038962075458	-0.922719225194741	-0.621999410310897	1.55412374276873	-0.9492250392339	0.523245991722342	1.26334816840772	1.42267876069452	-0.0400266338946154	1.14124107786697	-1.23656633554743	-0.704703578366136	-2.24833011934563	0.469831045003001	-0.803653547790526	-0.024556354543105	0.133676479862998	-0.770551172050159	-0.225504825864101	-0.748266171065729
Gclm	ME0	1.47489527591945	0.267240013057553	-0.743708036842467	-1.6569552139126	0.939149493438096	-1.78460784223493	0.555089461973982	0.811088359724311	1.5306555480488	-1.55832680202559	-0.780957580408845	0.536057712908809	-1.12808843836724	0.0586432837973727	-0.633258207196816	0.683491901813464	-0.232108866727598	1.90555189806078	0.502718470010287	0.466554768787173	-0.373047845661497	-0.136335638542997	-0.196423600462346	-0.507318115157132
Ggct	ME0	-0.0864997262344907	-1.50930205735453	-1.0604972920378	-1.32383032433554	1.25305918929927	0.840980271961739	-0.567876487306421	0.297976134485031	-0.225774627118434	0.0812788969852378	-1.09948447881758	1.31818206484322	1.49291667434925	2.0299010365768	-0.747296979321056	0.913433384007715	-1.1616216418037	0.20517606789471	-1.49762853013259	0.293867410385515	0.697228312663313	-0.401390952232698	0.15573828846271	0.101465364780332
Gstt2	ME0	-1.02968948553292	1.28098144723249	0.610783961401004	-0.450704244418979	-0.665035053208206	1.3969409126704	1.30748664660648	0.66154633779035	0.866199052441961	-1.52350312383035	0.312825731342457	-0.352591067939785	-0.0516160916566614	0.4396825227696	-0.36148547590108	0.273945224937942	2.25177178068537	-1.9923861889239	-0.508550159352965	-0.220572115611311	-0.634221403691565	-1.19827278982377	-0.53506214104605	0.121525723059492
Hnrnpd	ME0	-0.456667735404547	-0.945789596283851	-0.50740635837726	-0.282327806267814	0.416500560696364	0.588103312866169	0.665077609597851	1.1068136661896	-0.497485491330734	-0.865476916071022	-1.05807891481681	1.07190808210343	-0.20211350216149	-2.14165022661687	-0.12244060128815	1.01697510312238	0.977840117325466	0.863101128235015	-0.423885346355261	1.57362676375423	1.72408631593412	-0.205455027807109	-1.60881057062741	-0.68644456641631
Hspd1	ME0	0.501641208676251	0.114277021963219	0.587963046150858	-0.303994326732526	-0.315978422702316	-1.05633143076069	-0.721964457940636	-0.332328641219534	-0.926252080637657	0.56921678444975	0.961811487962794	-1.32266680777118	0.488410579860429	3.14941847695417	0.58772213474155	-0.659662368018966	-0.812576895228891	-0.520733274906029	-0.46096295006185	-0.89932879414516	-0.0140197026213561	1.46527991093735	0.841528157918416	-0.920468656867999
Hsph1	ME0	0.143322537017237	0.00353016054016551	0.130664384113814	-0.4490755510813	-0.294294551629499	-0.763136127313229	-0.282900281508641	-0.555994312102561	-0.472236920639397	-0.107603077959105	0.45530798053167	-0.854475880618122	0.147785457612004	3.27140711382054	0.0385564384544809	-0.345032235543588	-0.76711722360933	-0.22837351818878	-0.566000442119174	-0.832598532308222	-0.603122288938339	2.51175150376393	1.00704955869094	-0.587414190985497
