genes	module
Arrdc3	1
Arrdc4	2
Arsa	5
Arsb	1
Arsg	5
Arsk	1
Arv1	0
Arvcf	6
As3mt	9
Asah1	8
Asah2	4
Asap1	6
Asap3	6
Asb1	1
Asb10	0
Asb13	5
Asb2	3
Asb3	1
Asb6	3
Asb7	1
Asb8	1
Ascc1	9
Ascc2	6
Ascc3	4
Ascl2	0
Asf1a	1
Asf1b	10
Ash1l	4
Ash2l	5
Asl	3
Get3	9
Asns	1
Asnsd1	4
Asph	1
Aspm	0
Aspscr1	3
Asrgl1	0
Aste1	0
Ints13	4
Asxl1	0
Asxl2	0
Atad1	1
Atad2	1
Atad2b	4
Atad3a	3
Atad5	2
Atat1	2
Ate1	1
Atf1	1
Atf2	1
Atf3	2
Atf4	2
Atf6	0
Atf6b	3
Atf7	4
Atf7ip	4
Atg10	1
Atg101	5
Atg12	0
Atg13	6
Atg14	6
Atg16l1	2
Atg16l2	0
Atg2a	6
Atg2b	0
Atg3	2
Atg4a	1
Atg4b	3
Atg4c	1
Atg4d	0
Atg5	1
Atg7	5
Atg9a	5
Pgghg	7
Atic	0
Atl1	0
Atl2	0
Atl3	1
Atm	4
Atmin	1
Atn1	2
Atox1	7
Atp10a	0
Atp10b	7
Atp10d	2
Atp11a	1
Atp11b	1
Atp11c	1
Atp13a1	0
Atp13a2	6
Atp13a3	1
Atp1a1	3
Atp1a2	0
Atp1a3	5
Atp1b3	1
Atp2a2	8
Atp2a3	8
Atp2b1	4
Atp2b2	2
Atp2c1	1
Atp5a1	5
Atp5b	5
Atp5c1	7
Atp5d	3
Atp5e	7
Atp5pb	1
Atp5g1	7
Atp5g3	7
Atp5h	7
Atp5j	7
Atp5j2	7
Atp5k	7
Atp5o	5
Atp5s	1
Dmac2	2
Atp6ap1	8
Atp6ap2	1
Atp6v0a1	6
Atp6v0a2	1
Atp6v0b	7
Atp6v0d1	5
Atp6v0e	7
Atp6v1a	8
Atp6v1b2	8
Atp6v1c1	10
Atp6v1d	9
Atp6v1e1	9
Atp6v1f	7
Atp6v1g1	1
Atp6v1g2	0
Atp6v1h	8
Atp7a	1
Atp8a1	1
Atp8a2	6
Atp8b1	4
Atp8b2	0
Atp9a	0
Atp9b	6
Atpaf2	3
Atpif1	7
Atr	1
Atraid	10
Atrip	6
Atrn	0
Atrnl1	0
Atrx	4
Atxn1	4
Atxn10	8
Atxn1l	1
Atxn2	6
Atxn2l	2
Atxn3	4
Atxn7	4
Atxn7l1	2
Atxn7l2	3
Atxn7l3	2
Atxn7l3b	1
Auh	9
Aup1	5
Aurka	0
Aurkaip1	9
Aurkb	0
Aven	3
Avl9	1
Avpi1	8
Axin1	2
Axl	10
Azi2	4
Azin1	1
B130006D01Rik	4
Iftap	7
B230219D22Rik	1
B230307C23Rik	7
B230354K17Rik	4
B2m	7
B3galnt1	1
B3galnt2	4
B3galt4	0
B3galt5	1
B3galt6	5
B3gat3	3
B3glct	0
B3gnt2	1
B3gnt7	5
B3gnt8	5
B3gntl1	2
B430010I23Rik	4
B430306N03Rik	5
B4galnt1	5
B4galt1	1
B4galt3	2
B4galt4	0
B4galt5	0
B4galt6	1
B4galt7	5
B4gat1	5
Bmt2	1
Fndc10	0
B9d2	3
BC003331	2
BC003965	4
BC004004	5
BC005537	2
BC005561	4
BC005624	3
BC017158	3
BC017643	0
BC020402	1
BC022687	0
BC023829	8
BC024978	2
BC026585	7
BC027231	0
BC028528	7
BC029214	2
BC029722	5
BC030336	0
BC031181	1
BC031361	0
BC035044	4
BC037032	0
BC037034	2
BC037704	0
BC048403	0
BC049352	7
BC052040	4
BC055324	1
BC068281	4
BC100451	0
BC147527	0
Babam1	3
Bace1	2
Bach1	4
Bach2	4
Bach2os	2
Bad	3
Bag1	5
Bag2	4
Bag3	5
Bag4	1
Bag5	5
Bag6	6
Bahcc1	3
Bahd1	0
Baiap2	3
Baiap2l1	1
Bambi	8
Banf1	5
Bank1	2
Banp	3
Bap1	2
Basp1	3
Batf	0
Bax	9
Baz1a	4
Baz1b	2
Baz2a	6
Baz2b	2
Bbc3	3
Bbip1	1
Bbs1	6
Bbs10	0
Bbs12	0
Bbs2	0
Bbs4	3
Bbs5	7
Bbs7	1
Bbs9	9
Bbx	2
Bcap29	1
Bcap31	10
Bcar3	0
Bcas2	7
Bcas3	3
Bcat1	0
Bcat2	3
Bccip	1
Bcdin3d	5
Bckdha	3
Bckdhb	0
Bckdk	5
Bcl10	1
Bcl11a	1
Bcl2	0
Bcl2a1a	7
Bcl2a1b	1
Bcl2l1	0
Bcl2l11	0
Bcl2l12	3
Bcl2l13	8
Bcl3	5
Bcl6	6
Bcl6b	4
Bcl7a	2
Bcl7b	3
Bcl7c	9
Bcl9	0
Bcl9l	6
Bclaf1	2
Bco2	2
Bcor	6
Bcorl1	2
Bcr	2
Bcs1l	4
Bdp1	4
Becn1	0
Bend3	9
Bend4	0
Bend5	3
Bend6	0
Best1	5
Bet1	1
Bet1l	7
Bfar	2
Bhlhb9	1
Bhlhe40	0
Bhlhe41	1
Bicd2	6
Bid	2
Bik	3
Bin1	3
Bin2	3
Bin3	9
Birc2	4
Birc3	1
Birc5	0
Birc6	4
Bivm	1
Blcap	1
Blm	0
Blmh	1
Blnk	3
Bloc1s1	9
Bloc1s2	7
Bloc1s3	3
Bloc1s4	4
Bloc1s5	0
Bloc1s6	0
Blvra	9
Blvrb	3
Blzf1	4
Bmf	3
Bmi1	1
Bmp1	2
Bmp2k	4
Bmpr1a	1
Bmpr2	4
Bms1	3
Bmyc	3
Bnc2	7
Bnip1	0
Bnip2	2
Bnip3	8
Bnip3l	8
Bod1	0
Bod1l	2
Bola1	3
Bola2	9
Bola3	7
Bop1	3
Bora	4
Bpgm	0
Bphl	3
Bpnt1	1
Bptf	2
Braf	4
Brap	6
Brat1	6
Brca1	0
Brca2	4
Brcc3	1
Brd1	2
Brd2	2
Brd3	2
Brd4	3
Brd7	2
Brd8	6
Brd9	2
Bre	0
Brf1	2
Brf2	5
Bri3	7
Bri3bp	3
Brip1	1
Brip1os	5
Brix1	1
Brk1	10
Brms1	3
Brms1l	1
Brox	0
Brpf1	2
Brpf3	2
Brs3	1
Brwd1	4
Brwd3	4
Bscl2	5
Bsdc1	2
Bsg	5
Bsn	6
Bst2	10
Btaf1	4
Btbd1	1
Btbd10	1
Btbd11	1
Btbd17	0
Btbd19	2
Btbd2	3
Btbd3	1
Btbd6	0
Btbd7	4
Btbd8	4
Btbd9	2
Btd	0
Btf3	7
Btf3l4	1
Btg1	1
Btg2	4
Btk	3
Btrc	2
Bub1	0
Bub1b	0
Bub3	5
Bud13	3
Bud31	7
Bysl	0
Bzw1	1
Bzw2	3
C030006K11Rik	3
C030034I22Rik	4
C030034L19Rik	2
Zfp607b	1
C130046K22Rik	2
C130050O18Rik	0
C1d	1
C1galt1	1
C1galt1c1	1
C1qa	5
C1qb	3
C1qbp	3
C1qc	5
C1ra	6
C1rl	2
C230091D08Rik	7
C2cd2	5
C2cd2l	3
C2cd3	0
C2cd5	3
C3	1
Tmem250-ps	2
Steep1	1
C330018D20Rik	4
Cip2a	5
C3ar1	8
C4b	10
C5ar1	5
C5ar2	0
C87436	5
C920009B18Rik	1
C920021L13Rik	4
H2-T-ps	0
Caap1	0
Cab39	1
Cab39l	1
Cabin1	6
Cables1	3
Cables2	3
Cacfd1	2
Cacna1a	0
Cacna1d	4
Cacna1s	0
Cacnb2	1
Cacnb4	0
Cactin	3
Cacul1	1
Cacybp	4
Cad	6
Cadm1	8
Cage1	0
Cahm	4
Calcoco1	3
Calcrl	1
Calhm2	0
Calm2	7
Calm3	3
Calr	0
Calr3	0
Calu	1
Camk1	7
Camk1d	6
Camk2a	0
Camk2b	3
Camk2d	1
Camk2g	2
Camk2n1	7
Camkk1	6
Camkk2	6
Camkmt	0
Caml	1
Camp	1
Camsap1	2
Camsap2	0
Camta1	4
Camta2	2
Cand1	8
Cand2	6
Cant1	3
Canx	1
Cap1	6
Capg	5
Capn1	3
Capn10	9
Capn11	0
Capn15	6
Capn2	5
Capn3	3
Capn5	6
Capn7	4
Capns1	5
Caprin1	8
Caprin2	0
Capza1	1
Capza2	1
Capzb	5
Car12	0
Car7	1
Car9	1
Card11	5
Card6	0
Card9	2
Carf	4
Carhsp1	3
Naxd	3
Carm1	6
Carns1	6
Cars	6
Cars2	2
Casc3	6
Golm2	1
Knl1	0
Casd1	1
Cask	1
Casp1	0
Casp12	0
Casp2	1
Casp3	0
Casp4	0
Casp6	3
Casp7	0
Casp8	1
Casp8ap2	4
Casp9	8
Cass4	0
Cast	3
Casz1	0
Cat	5
Catip	4
Cav1	7
Cav2	8
Cbfa2t2	1
Cbfa2t3	6
Cbfb	1
Cbl	4
Cblb	1
Cbll1	1
Cbr1	3
Cbr2	0
Cbr3	5
Cbr4	0
Cbwd1	4
Cbx1	2
Cbx2	0
Cbx3	4
Cbx4	6
Cbx5	1
Cbx6	3
Cbx7	2
Cbx8	2
Cby1	3
Cc2d1a	6
Cc2d1b	3
Cc2d2a	2
Ccar1	2
Ccar2	6
Kyat1	0
Kyat3	0
Sgf29	2
Ccdc102a	3
Ccdc106	2
Ccdc107	9
Mcub	1
Ccdc112	4
Ccdc115	4
Ccdc117	4
Ccdc12	9
Ccdc122	1
Ccdc124	3
Ccdc125	2
Ccdc126	1
Ccdc127	8
Ccdc130	9
Vps50	0
Ccdc134	2
Ccdc137	2
Ccdc138	0
Ccdc14	3
Ccdc142	2
Ccdc149	2
Ccdc15	0
Ccdc157	0
Ccdc162	2
Ccdc163	3
Ccdc166	7
Ccdc167	2
Ccdc17	1
Ccdc171	1
Ccdc173	2
Ccdc174	2
Ccdc18	0
Ccdc181	3
Ccdc186	2
Ccdc22	3
Svbp	7
Ccdc25	1
Ccdc28a	2
Ccdc28b	2
Ccdc32	3
Ccdc34	7
Iho1	3
Ccdc43	1
Ccdc47	5
Ccdc50	1
Ccdc51	0
Washc3	0
Nsrp1	9
Ccdc57	2
Ccdc58	4
Ccdc59	0
Ccdc6	0
Ccdc61	3
Ccdc62	4
Ccdc66	2
Ccdc69	0
Ccdc71	6
Ccdc71l	1
Ccdc73	4
Ccdc77	2
Ccdc8	2
Ccdc80	2
Ccdc82	4
Ccdc84	2
Ccdc85b	3
Ccdc86	3
Ccdc88a	7
Ccdc88b	3
Ccdc9	2
Ccdc90b	1
Ccdc91	3
Ccdc93	6
Yju2	3
Ccdc97	6
Cchcr1	6
Ccl12	10
Ccl2	4
Ccl24	3
Ccl25	1
Ccl3	7
Ccl4	7
Ccl5	5
Ccl6	1
Ccl7	1
Ccl8	1
Ccl9	7
Ccm2	3
Ccna2	0
Ccnb2	0
Ccnc	1
Ccnd1	3
Ccnd3	3
Ccndbp1	0
Ccne2	1
Ccnf	5
Ccng1	1
Ccng2	1
Ccnh	1
Ccni	1
Ccnj	2
Ccnk	4
Ccnl1	2
Ccnl2	2
Ccnt1	4
Ccnt2	4
Ccny	0
Ccnyl1	0
Ccp110	4
Ccpg1	5
Ccpg1os	9
Ccr1	4
Ccr1l1	0
Ccr3	0
Ccr5	8
Ccr6	0
Ccrl2	8
Noct	0
Ccs	9
Ccser2	1
Cct2	0
Cct3	0
Cct4	1
Cct5	5
Cct6a	8
Cct7	5
Cct8	0
Ccz1	1
Cd101	10
Cd14	5
Cd151	3
Cd164	1
