#KEY	PBS_4	PBS_3	PBS_2	PBS_1	CML_4	CML_3	CML_2	CML_1
Zfp879	76	56	88	87	51	54	63	64
Zfp882	531	567	443	330	482	559	576	463
Zfp9	10	0	23	31	7	22	7	14
Zfp90	2338	1894	2001	1852	2248	3361	2232	2617
Zfp91	238	209	98	214	252	333	226	212
Zfp91Cntf	0	0	0	0	0	0	0	0
Zfp92	0	0	0	1	0	0	0	0
Zfp93	108	248	130	111	175	241	154	165
Zfp930	533	734	551	561	601	688	438	587
Zfp931	128	112	184	83	120	203	96	164
Zfp932	90	193	139	50	127	115	164	127
Zfp933	129	446	198	324	362	256	264	325
Zfp934	100	217	114	60	180	182	126	144
Zfp935	537	639	547	512	561	765	614	631
Zfp936	0	0	1	1	0	0	0	1
Zfp937	287	328	122	192	214	353	168	205
Zfp938	225	424	209	292	228	275	299	282
Zfp939	278	327	139	141	199	356	334	185
Zfp94	273	201	116	168	146	199	168	169
Zfp940	104	195	30	185	174	298	196	141
Zfp941	0	0	0	0	0	0	0	0
Zfp942	800	693	581	680	1021	1076	660	863
Zfp943	1258	1501	1377	1083	1469	1512	1632	1406
Zfp944	535	746	710	390	672	877	375	753
Zfp945	445	423	317	297	480	455	324	376
Zfp946	216	319	298	231	361	535	235	426
Zfp947	26	1	35	0	9	0	20	15
Zfp948	56	12	4	15	9	19	36	12
Zfp949	204	272	141	288	218	194	226	219
Zfp950	890	667	629	640	835	1049	689	741
Zfp951	526	506	472	297	586	655	533	607
Zfp952	573	596	535	831	464	749	621	637
Zfp953	325	272	193	93	197	417	245	277
Zfp954	494	590	445	584	534	910	469	582
Zfp955a	655	695	541	488	505	831	604	653
Zfp955b	503	634	621	359	576	652	562	575
Zfp956	310	204	219	185	280	322	180	286
Zfp957	0	0	0	0	0	0	0	0
Zfp958	705	1060	588	501	669	1015	582	817
Zfp959	409	540	473	624	389	734	380	482
Zfp960	73	73	32	69	71	57	59	49
Zfp961	389	480	369	486	529	749	263	573
Zfp963	617	856	494	718	404	889	657	665
Zfp964	225	163	68	197	306	223	181	206
Zfp97	155	214	110	133	138	218	108	148
Zfpl1	749	888	964	820	778	861	769	913
Zfpm1	720	423	534	581	545	633	594	637
Zfpm2	0	0	0	0	0	0	0	2
Zfr	2385	1559	2305	1809	2321	3099	2541	2660
Zfr2	14	30	4	22	1	13	2	3
Zfx	2309	2360	1805	2168	2764	3046	2649	2511
Zfy1	0	0	0	0	0	0	0	0
Zfy2	0	0	0	0	0	0	0	0
Zfyve1	659	553	593	404	649	887	439	712
Zfyve16	552	554	454	518	514	659	572	503
Zfyve19	938	1050	981	760	807	1406	1001	1109
Zfyve21	746	996	960	843	877	1307	859	1229
Zfyve26	691	431	588	398	651	631	825	568
Zfyve27	981	788	735	832	640	1264	775	874
Zfyve28	88	51	146	99	101	113	113	147
Zfyve9	61	8	3	26	40	32	71	16
Zg16	0	0	0	0	0	0	0	0
Zglp1	0	0	0	0	0	0	0	0
Zgpat	766	698	733	491	770	853	944	836
Zgrf1	49	98	16	61	67	31	43	28
Zhx1	1340	1397	943	925	1419	2155	1680	1491
Zhx2	129	125	91	133	154	158	161	112
Zhx3	123	239	81	194	284	283	218	192
Zic1	0	0	0	2	0	0	0	0
Zic2	0	0	0	0	0	0	4	0
Zic3	0	1	0	0	0	0	0	0
Zic4	0	0	0	0	0	0	0	0
Zic5	0	1	0	0	0	0	0	0
Zik1	220	333	184	190	336	413	449	384
Zim1	0	0	0	0	0	0	0	0
Zim2	0	0	0	0	0	0	0	0
Zim3	0	0	0	0	0	0	0	0
Zkscan1	1597	1615	1623	1435	1709	2375	1213	1865
Zkscan14	761	777	529	770	515	1192	664	741
Zkscan16	0	0	0	0	0	0	0	0
Zkscan17	677	682	635	732	832	895	567	841
Zkscan2	59	30	0	21	6	2	24	8
Zkscan3	1076	1285	1327	1230	1203	1512	1281	1486
Zkscan4	628	565	458	337	567	642	453	537
Zkscan5	532	386	457	420	507	629	487	479
Zkscan6	823	863	827	935	712	1063	817	887
Zkscan7	67	110	74	142	106	200	147	104
Zkscan8	620	748	450	373	684	877	434	570
Zmat1	234	367	136	222	386	481	257	306
Zmat2	765	1135	933	810	789	1039	819	966
Zmat3	64	90	103	40	94	111	84	118
Zmat4	0	0	0	0	0	0	0	0
Zmat5	462	555	534	501	421	507	507	529
