Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
C030046I01RIK,NM_177994,1.5921568627451,157,192,157,122,184,167,239,155,142,93,80,105,111,79,0.003325459760446
RPS8,NM_009098,1.58946212952799,489,369,363,411,474,354,436,313,208,369,295,227,197,213,0.000472496264915
ARL4C,NM_177305,1.58823529411765,485,555,403,375,267,505,461,241,296,252,252,337,303,240,0.001368240873248
RPL37A,NM_009084,1.58571428571429,281,228,275,277,286,273,267,184,163,231,187,143,131,151,1.99935054871142E-05
GM13611,NM_001195765,1.58542413381123,205,172,172,151,245,177,205,157,101,139,130,100,95,115,0.000457592063914
SLC39A5,NM_028092,1.58503401360544,69,94,128,113,114,71,110,52,67,46,63,61,93,59,0.0037298251051
RHOB,NM_007483,1.58415551431083,2286,2617,1982,1938,2912,2031,2451,1511,1129,1630,1422,1690,1443,1412,0.000127720147257
CHST12,NM_021528,1.58373786407767,175,274,167,164,188,148,189,130,132,127,99,128,104,104,0.001314204148993
ARL11,NM_177337,1.57559681697613,157,186,159,149,195,137,205,137,114,121,94,99,88,101,0.000181254541327
FBXW8,NM_172721,1.57478005865103,87,95,58,78,70,87,62,38,35,45,51,57,51,64,0.001049593805979
HIST1H2AB,NM_175660,1.57258064516129,28,20,30,26,24,30,37,14,29,15,10,17,18,21,0.006123546591879
PLXDC1,NM_001163608,1.57177322074789,161,244,194,171,150,160,223,161,131,122,130,112,72,101,0.001869181941048
MRPL54,NM_025317,1.56934306569343,93,131,95,84,60,85,97,74,33,63,61,70,71,39,0.006199863636253
SND1,NM_019776,1.56864564007421,181,209,314,223,229,278,257,220,144,131,110,178,176,119,0.002136072074339
PGLS,NM_025396,1.56843800322061,130,155,126,102,114,205,142,91,112,121,49,78,100,70,0.008059548007993
ELANE,NM_015779,1.56602521566025,403,317,350,268,370,357,295,259,165,254,260,199,183,187,0.000218612188826
CHMP7,NM_134078,1.56521739130435,98,56,51,79,82,76,62,28,54,57,40,42,58,43,0.004593575623324
PCDHGA1,NM_033584,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA10,NM_033593,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
